plane,plane,(0.00043691142812911225+0.3822906957711545j),(0.0005644605604710025+0.08230644443955193j),(0.28038330808454553-2.6542945757821434e-05j)
plane,car,(2.291512529011256-9.711038171651759e-05j),(0.7394024448689941-2.672193249543218e-05j),(0.6261785700113928+9.892808036337439e-06j)
plane,bird,(2.231834795741533+4.196219432148086e-05j),(0.7097409437369889-2.6854463939022262e-06j),(0.5887831815330766-5.168706154940523e-06j)
plane,cat,(2.2374376208856543+1.666487562861532e-05j),(0.6853909741994838-3.1437617863272804e-05j),(0.605160583589998-4.506397247133482e-06j)
plane,deer,(2.2818989923846034-1.646670626363252e-05j),(0.7555006999717923-5.300354978085344e-05j),(0.5971700356493431-1.8781323089827284e-05j)
plane,dog,(2.2206942890071826-9.971706541418631e-06j),(0.6906311445878671+0.00010107936952783044j),(0.6023192223986994-1.4289366966071511e-05j)
plane,frog,(2.2672726193085335+9.264702272533439e-06j),(0.7298915105042791-1.0532770892899817e-05j),(0.5425506231336548-6.420020912983692e-06j)
plane,horse,(2.3351344808510044-4.8550052568084144e-05j),(0.7234129917013229+6.319116091614577e-06j),(0.6223267941768242+7.78279246577309e-06j)
plane,ship,(2.165992362557843+2.745447454867914e-05j),(0.7169762774800297-5.4629558599029684e-05j),(0.595972106022816+3.030352642468974e-06j)
plane,truck,(2.432992633097158-6.708281860803858e-05j),(0.7445546225396279-3.42945642755758e-05j),(0.6141731767323272+2.328488747515354e-05j)
car,car,(0.0002287985561538642-0.38304842849735415j),(0.0005472438389597103-0.07770604743786733j),(0.24694538481385261-1.7542188670350724e-05j)
car,bird,(2.173058082187799-8.776403406135753e-05j),(0.6943650315319783-2.4920129825174986e-05j),(0.6305115287714899-1.4883098413607495e-05j)
car,cat,(2.178763360781723+5.53422008136633e-05j),(0.6563449612552154-5.106164280033722e-05j),(0.6178344951790383-9.524910667219103e-06j)
car,deer,(2.366186860358482-5.765758598163464e-07j),(0.7630233089308565+1.2828204588050528e-06j),(0.5989529573840194-7.714824093583793e-07j)
car,dog,(2.198817921190746-0.0001237153706428341j),(0.6761379721233141-1.7606714348258864e-05j),(0.6101694710758392+4.940575249986348e-07j)
car,frog,(2.1906951207357963+4.653793746965876e-05j),(0.75689641136162-2.195756496197673e-05j),(0.6368510384756114+2.079554734171654e-05j)
car,horse,(2.2695423626074405-1.7700028771765606e-05j),(0.7427746504575886+4.2681369285821506e-05j),(0.648655910057939+3.494328996133155e-05j)
