plane,plane,(0.2077640728187429-18.892332540632758j),(0.36038028522992777+5.239486775960568j),(0.09351368442348208-0.4467204913590203j)
plane,car,(62.446836292112536+0.04373413370068814j),(76.13081489042145+0.00018328974667146904j),(18.98227208409338-0.0009150171366270987j)
plane,bird,(56.2541246311139+0.027776834073013335j),(49.8888285696117+0.010718549672163163j),(12.669493595954691+0.005113489410435383j)
plane,cat,(67.46339462094024+0.00412395769989524j),(70.42231907434308-0.0018475053669944586j),(15.059641814850437-0.0033387854196080357j)
plane,deer,(71.32229400497592+0.005155192558938699j),(57.38021801567113-0.005594113337486637j),(7.444235849114626-0.00022437596403361833j)
plane,dog,(73.32089814997465-0.020363574209690247j),(71.04908253898054+0.004530942679241394j),(16.51946251182452+0.001305097636864162j)
plane,frog,(97.62530578212254-0.004358209871019967j),(90.94456202000754+0.015146090742865643j),(22.63960464636192-0.009632070551948568j)
plane,horse,(61.09645615800862-0.008613918740835138j),(70.78992614132571+0.013318241330355644j),(16.56976790155249+0.0010347635948119408j)
plane,ship,(35.55354222544249+0.14498724297323015j),(57.01418507710083-0.014694553307937135j),(16.244579500396462-0.00043771249756164985j)
plane,truck,(42.8548821307371-0.032343075672437493j),(54.027566774341096+0.027996505606160106j),(8.038097921320572-0.013148224835525522j)
car,car,(0.02548384428266189-15.563804919532139j),(0.0743120595270917-2.5060414190740885j),(0.0980008344416466-1.2737274497658775j)
car,bird,(39.14870523516574-0.05683203935117401j),(50.43229863247782-0.004614364648617945j),(9.774707313308168-0.019834604122408245j)
car,cat,(41.34479225900128-0.009755142741213871j),(39.86533614673959-0.0007584479531563688j),(10.457064266067443+0.01024079470150001j)
car,deer,(106.313499137887-6.950483695225078e-05j),(71.36144019182768-3.1863965201513884e-05j),(35.45971761524233+1.7758772293858593e-05j)
car,dog,(47.06541185198143-0.015023370512453315j),(52.377460004444416-0.00041448375376256896j),(11.21653023137156-0.009326352137883855j)
car,frog,(41.47960013599908+0.0377079250112518j),(76.09832396354848-0.003352120540803575j),(27.29371224121118-0.007174965664468636j)
car,horse,(39.603641325348576-0.0028703164732046737j),(45.07297754683526-0.022500019698469913j),(7.487937651626753-0.017318867239286207j)
car,ship,(62.48155879949382-0.04072692306700891j),(111.3065169586226+0.01883899026796442j),(33.84700562354715-0.0005494639084850931j)
car,truck,(44.666985500445975-0.02313592576472652j),(55.54976420804691-0.002418737650494731j),(8.623261549426232+0.018496411754635383j)
bird,bird,(0.0755200655728489+14.316748584480763j),(0.3640754145508956-3.5494469714706653j),(0.1513762464011817+0.02278843630651373j)
bird,cat,(38.109423684847144+0.03851599086761318j),(37.30272408931184+0.003779797230218228j),(5.639700188506918+0.0006261158155474487j)
bird,deer,(106.59128170702229-0.0009617515463124975j),(90.76366459043926-0.00011849173493495411j),(33.05522959564936+9.200471032391172e-06j)
bird,dog,(45.12661071592277-0.023036290290729886j),(36.13805928212182-0.05141890939492599j),(8.451624309528302-0.004765811199194957j)
bird,frog,(40.17942362839621-0.013677580318830984j),(47.04304831281772-0.0394785604350767j),(28.021266572192594-0.00276917503080519j)
bird,horse,(34.870788302669716-0.011995815853938059j),(29.88839816328612-0.0157338414216766j),(7.310232576276302-0.0012192803666605944j)
bird,ship,(64.89878837713127+0.031742074916817076j),(85.92739285499032+0.0014261232805309j),(34.504421365534824-0.0009507193170929418j)
bird,truck,(56.433990305678336+0.0048066422984381595j),(53.96104564813313-0.009301319482789021j),(12.818448372274839-0.0005295207854000271j)
cat,cat,(0.09886024415803146+15.956854682091306j),(0.015608459485308472-2.2842274831452065j),(0.22869470532666888+0.6670272055817419j)
cat,deer,(114.25174700508697-0.00025046566530360974j),(75.46221037827495+1.2886500626377562e-05j),(31.17469246730894+6.246440806542616e-07j)
